Target,Create_Date,Text,Compound,Positive,Negative,Neutral,Text_Cnt
@CBSNews,Fri Oct 05 00:36:15 +0000 2018,"RT @CBSNews: Winery loses 8,000 gallons of prosecco after fermentation tank explodes https://t.co/CB3q8kXQLm https://t.co/GVREhL6D60",-0.3182,0.0,0.15,0.85,14
@CBSNews,Fri Oct 05 00:36:08 +0000 2018,"RT @CBSNews: Kavanaugh fight rallies GOP ahead of midterms: ""It's like pouring gasoline on the base"" https://t.co/jwT7VIaYke https://t.co/1…",-0.0258,0.118,0.123,0.758,15
@CBSNews,Fri Oct 05 00:36:07 +0000 2018,"RT @SophieInCT: Anti-Kavanaugh protestors marching towards the Supreme Court now. 
Hey @cnn @msnbc @abcnews @CBSNews @NBCNews Feel free to…",0.7845,0.289,0.0,0.711,16
@CBSNews,Fri Oct 05 00:36:05 +0000 2018,"RT @CBSNews: Kavanaugh fight rallies GOP ahead of midterms: ""It's like pouring gasoline on the base"" https://t.co/jwT7VIaYke https://t.co/1…",-0.0258,0.118,0.123,0.758,17
@CBSNews,Fri Oct 05 00:36:02 +0000 2018,@CBSNews I guess we'll see,0.0,0.0,0.0,1.0,18
@CBSNews,Fri Oct 05 00:35:59 +0000 2018,RT @Lisa618: Shelter Reform needed at Town of Hempstead Animal Shelter: Listen to this video &amp; please R/T 💜💜🐾 Media Coverage @News12LI @FiO…,0.3182,0.095,0.0,0.905,19
@CBSNews,Fri Oct 05 00:35:49 +0000 2018,"RT @CBSNews: Kavanaugh fight rallies GOP ahead of midterms: ""It's like pouring gasoline on the base"" https://t.co/jwT7VIaYke https://t.co/1…",-0.0258,0.118,0.123,0.758,20
@CBSNews,Fri Oct 05 00:35:32 +0000 2018,@ramona120231 @CBSNews And you forgot make them work... have to pay less taxes.... secure our border.... and defini… https://t.co/4Vy0fxRFsA,0.1832,0.103,0.068,0.828,21
@CBSNews,Fri Oct 05 00:35:32 +0000 2018,"@repyorg @CBSNews As if it's so hard to add one word. ""Deliver her BABY""",-0.2183,0.0,0.126,0.874,22
@CBSNews,Fri Oct 05 00:35:30 +0000 2018,"RT @Mr_Universe2017: @CBSNews America has spoken
Women have spoken

Will @SenatorCollins @lisamurkowski and @JeffFlake listen?

#StopKavana…",0.0,0.0,0.0,1.0,23
@CBSNews,Fri Oct 05 00:35:30 +0000 2018,"RT @CBSNews: Kavanaugh fight rallies GOP ahead of midterms: ""It's like pouring gasoline on the base"" https://t.co/jwT7VIaYke https://t.co/1…",-0.0258,0.118,0.123,0.758,24
@CBSNews,Fri Oct 05 00:35:24 +0000 2018,"RT @CBSNews: HAPPENING NOW: Pres. Trump rallies supporters in Minnesota, as senators in Washington edge closer to confirming his embattled…",0.4404,0.132,0.0,0.868,25
@CBSNews,Fri Oct 05 00:35:20 +0000 2018,@AIIAmericanGirI @realDailyWire Her &amp; Kavanaugh had already been interviewed. Her attorneys are no brighter than th… https://t.co/LT6Ya4fX4W,0.1027,0.131,0.111,0.758,26
@CBSNews,Fri Oct 05 00:35:14 +0000 2018,@CBSNews @ChuckGrassley Funny but you sure the hell didn’t feel like doing things the respectable way when Obama no… https://t.co/70ws0DyVl4,0.5574,0.359,0.192,0.449,27
